row_number,reasons,Case Number,Address,Date & Time,Offense Description,Case Disposition,PD District
215171,'Case Disposition' garbled/scrambled text,2017-00378710,CLARK AVE,11/24/2017 at 14:29,IMPROPERLY HANDLING FIREAPRRMOSS,IENC AU MTOOTRO'SR O VFEFHICICELE,
215239,'Case Disposition' garbled/scrambled text,2017-00378477,658 E 117TH ST,11/24/2017 at 0:00,IMP DISCH FIREARM AT OR INTONO H,APABPITEARTISO -N I NOARC STCIVHEOOL,5
215288,'Case Disposition' garbled/scrambled text,2018-00052278,3321 E 79TH ST,11/23/2017 at 16:39,PANDERING OBSCENITY INVOLNVOIN,GPA AP MERINSO -R N.F.I.L.,
215308,'Offense Description' garbled/scrambled text,2017-00377834,869 E 128TH ST,11/23/2017 at 12:36,RECOVERED VEH/PROPERTY NON-CRIME,,
215323,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00378018,4141 GARRETT A MORGAN P1L1/23/2017 at 11:30,,MISSING PERSON CANCEL/RETURN4,,
215370,'Offense Description' garbled/scrambled text,2017-00377512,E 186TH ST,11/23/2017 at 1:24,RECOVERED VEH/PROPERTY NON-CRIME,,
215390,'Offense Description' garbled/scrambled text,2017-00377373,10630 ELGIN AVE,11/22/2017 at 22:01,RECOVERED VEH/PROPERTY NON-CRIME,,5
215497,'Offense Description' garbled/scrambled text,2017-00376508,E 100TH ST,11/22/2017 at 0:05,RECOVERED VEH/PROPERTY NON-CRIME,,5
215504,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00376481,3609 COMMUNITY COLLEGE 1A1V/2E1/2017 at 23:15,,CRIMINAL DAMAGING OR ENDANGERING,,3
215530,'Case Disposition' garbled/scrambled text,2017-00376305,200 PUBLIC SQ,11/21/2017 at 18:45,CRIMINAL TRESPASSING -KNOWREINFGELRYR,EENDT TEOR /JRUEVMEANIINLE COURT,
215536,'Address' contains a date/time (leak?),2017-00376239,3165 MARTIN LUTHER KING J1R1 /D21R/2017 at 18:30,,AGGRAVATED ROBBERY,,4
215561,'Address' contains a date/time (leak?),2017-00376054,MARTIN LUTHER KING JR DR11/21/2017 at 15:35,,,,
215622,'Offense Description' garbled/scrambled text,2017-00376110,BROADALE RD,11/21/2017 at 7:00,DOMESTIC VIOLENCE-KNOWINIGNLDYI CCTAEUDS,E/ M OISRD AETMTEEMANPOTERD TO,
215747,'Address' contains a date/time (leak?),2017-00380491,2100 CENTRAL FURNACE CT11/20/2017 at 8:00,,VANDALISM,,
215755,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00374571,11800 MOUNT OVERLOOK AV1E1/20/2017 at 3:00,,THEFT,,
215776,"'PD District' expected numeric, has text",2017-00374402,3495 E 98TH ST,11/19/2017 at 23:57,DOMESTIC VIOLENCE,OPEN,CMHA
215810,'Offense Description' garbled/scrambled text,2017-00374141,7519 OSAGE AVE,11/19/2017 at 18:27,RECOVERED VEH/PROPERTY NON-CRIME,,
215850,'Address' contains a date/time (leak?),2017-00373819,MARTIN LUTHER KING JR DR11/19/2017 at 12:45,,AGGRAVATED ROBBERY,,5
215921,'Offense Description' garbled/scrambled text,2017-00373651,3867 W 40TH ST,11/18/2017 at 22:00,INTIMIDATION OF CRIME VICTIMN OO RP AWPIETRNSE S- SN.F.I.L.,,2
216029,'Address' contains a date/time (leak?),2017-00372451,E 36TH ST & LONGWOOD AVE11/18/2017 at 4:27,,CRIMINAL DAMAGING OR ENDANGERING,,3
216165,'Offense Description' garbled/scrambled text,2017-00371560,5133 SUPERIOR AVE,11/17/2017 at 10:45,AGG. ROBBERY_DEADLY WEAPNOON,PAPERS - N.F.I.L.,
216269,'Offense Description' garbled/scrambled text,2017-00370761,4413 W 191ST ST,11/16/2017 at 15:25,RECOVERED VEH/PROPERTY NON-CRIME,,
216321,'Address' contains a date/time (leak?),2017-00370374,MADISON AVE & WEST BLVD11/16/2017 at 6:34,,AGGRAVATED VEHICULAR HOMICIDE,,1
216333,'Address' contains a date/time (leak?),2017-00371352,1942 MARTIN LUTHER KING J1R1 /D16R/2017 at 2:35,,DRUG PARAPHERNALIA,CWRU,
216396,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00369878,MEMPHIS AVE & WEST 58TH1 1S/1T5/2017 at 17:30,,RECKLESS OPERATION,,
216407,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00370006,ARCHWOOD & EAST OF FUL1T1O/1N5/2017 at 16:20,,AGGRAVATED MENACING,,
216436,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2018-00003790,13725 LAKEWOOD HEIGHTS 1B1L/V1D5/2017 at 12:00,,MOTOR VEHICLE THEFT - GTMVREFERRED TO OTHER AGENCY,,1
216465,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00370654,10874 MOUNT OVERLOOK AV1E1/15/2017 at 8:30,,PETTY THEFT,,
216494,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00369259,11221 MOUNT OVERLOOK AV1E1/15/2017 at 1:29,,PETTY THEFT,,3
216520,'Address' contains a date/time (leak?),2017-00369776,DETROIT AVE & W 105 TH ST11/14/2017 at 22:00,,ASSAULT,,
216539,"'PD District' expected numeric, has text",2017-00368940,4893 SCOVILL AVE,11/14/2017 at 18:27,DOMESTIC VIOLENCE,WARRANT - SUSPECT WANTED,CMHA
216618,'Offense Description' garbled/scrambled text,2017-00368362,E 141ST ST,11/14/2017 at 8:11,RECOVERED VEH/PROPERTY NON-CRIME,,
216647,'Address' contains a date/time (leak?),2017-00368186,E 36TH ST & LONGWOOD AVE11/14/2017 at 0:21,,FELONIOUS ASSAULT - (ALL),,
216703,'Address' contains a date/time (leak?),2017-00367867,IR -77 N N & PERSHING AVE11/13/2017 at 18:00,,,,
216879,"'PD District' expected numeric, has text; 'Case Disposition' garbled/scrambled text",2017-00366666,7200 WADE PARK AVE,11/12/2017 at 12:14,INTIMIDATION OF CRIME VICTIM*N OOR,P WAPITENRESS (SINSUFFICIENT EVD),CMHA
216921,'Address' contains a date/time (leak?),2017-00366324,MARTIN LUTHER KING JR DR11/12/2017 at 1:05,,MOTOR VEHICLE THEFT - GTMV,,4
216935,'Address' contains a date/time (leak?),2017-00367193,3046 SOUTH MORELAND AVE11/11/2017 at 22:10,,ARSON,,4
216940,'Address' contains a date/time (leak?),2017-00366162,W 117TH ST & CLIFTON BLVD11/11/2017 at 21:25,,,,1
216941,'Offense Description' garbled text (embedded symbol),2017-00366155,1237 WASHINGTON AVE,11/11/2017 at 21:25,CARRYING CONCEALED WEAPO*CNHSARGED / FELONY,,2
216977,'Offense Description' garbled/scrambled text,2017-00365924,3360 E 112TH ST,11/11/2017 at 16:52,RECOVERED VEH/PROPERTY NON-CRIME,,
216996,'Address' contains a date/time (leak?),2017-00365845,3776 MARTIN LUTHER KING J1R1 /D11R/2017 at 15:00,,DOMESTIC VIOLENCE,,
217045,'Case Disposition' garbled/scrambled text,2017-00365416,W 117TH ST,11/11/2017 at 2:38,IMP DISCH FIREARM AT OR INTOCO HMAPBLITAAITNITO TOR,RNE OFRU SSECDH OTOO LPROSECU,1
217049,'Offense Description' garbled/scrambled text; 'Case Disposition' garbled/scrambled text,2017-00366864,4126 E 142ND ST,11/11/2017 at 2:00,AGGRAVATED ASSAULT - KNIFER OERF ECRURTETDIN,TGO I NGSRTARNUDM JEUNRTY,
217096,'Address' contains a date/time (leak?),2017-00365313,E 31ST ST & SUPERIOR AVE E11/10/2017 at 19:00,,THEFT,,3
217107,'Offense Description' garbled text (embedded symbol),2017-00365005,4439 WOODLAND AVE,11/10/2017 at 17:43,DOMESTIC VIOLENCE-RECKLES*CSHLYARGED / MISDEMEANOR,CMHA,
217179,'Address' contains a date/time (leak?),2017-00364567,DETROIT AVE & SUPERIOR A11V/E10/2017 at 9:00,,,,
217247,'Address' contains a date/time (leak?),2017-00364002,E 26TH ST & LAKESIDE AVE E11/9/2017 at 18:20,,,,
217248,'Date & Time' doesn't look like a date; 'Date & Time' possible overlapping text,2017-00363982,MARTIN LUTHER KING JR DR1,1&/ 9L/A2R01C7H aMt E18R:E09 B LVD,MOTOR VEHICLE THEFT - GTMV,,
217306,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-08001664,3414 MARTIN LUTHER KING J1R1 /D9/R2017 at 10:09,,THEFT,,
217317,'Offense Description' garbled/scrambled text,2017-00363438,2814 E 126TH ST,11/9/2017 at 8:52,RECOVERED VEH/PROPERTY NON-CRIME,,
217332,'Offense Description' garbled/scrambled text,2017-00363385,NOTTINGHAM RD,11/9/2017 at 7:37,RECOVERED VEH/PROPERTY NON-CRIME,,5
217372,'Offense Description' garbled/scrambled text,2017-00381142,E 189TH ST & HARVARD AVE,11/8/2017 at 21:32,RECOVERED VEH/PROPERTY NON-CRIME,,4
217495,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00362082,WEST 28TH ST TO SHRWAY E1 1R/7A/M20P17 at 20:30,,CRIMINAL DAMAGING OR ENDANGERING,,
217531,'Date & Time' doesn't look like a date; 'Date & Time' possible overlapping text,2017-00361853,11408 MARTIN LUTHER KING 1,J1R/7 D/2R017 at 16:58,POSSESSING CRIMINAL TOOLS,,4
217566,'Offense Description' garbled/scrambled text,2017-00361541,10813 AVON AVE,11/7/2017 at 11:26,RECOVERED VEH/PROPERTY NON-CRIME,,4
217633,'Case Disposition' garbled/scrambled text,2017-00361167,816 LAKEVIEW RD,11/6/2017 at 23:15,POSSESSING DEADLY WEAPONESX,COENP PTRIOIVNAATLE C PLREOAPREARNTCYE,5
217649,'Offense Description' garbled/scrambled text,2017-00361038,19601 MAPLEWOOD AVE,11/6/2017 at 20:11,RECOVERED VEH/PROPERTY NON-CRIME,,1
217655,'Offense Description' garbled/scrambled text,2017-00361012,3793 E 52ND ST,11/6/2017 at 19:39,SALES TO & USE BY MINORS;SECURNG PUBLC ACCOMMODATN,,
217721,'Offense Description' garbled/scrambled text,2017-00360512,8712 FREDERICK AVE,11/6/2017 at 11:33,RECOVERED VEH/PROPERTY NON-CRIME,,3
217769,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00360205,INTERGRAPHINCIDENTADDR1E1S/6S/2017 at 2:17,,ASSAULT,WARRANT - SUSPECT WANTED,5
217778,'Address' contains a date/time (leak?),2017-00360161,MARTIN LUTHER KING JR DR11/6/2017 at 0:20,,,,4
217831,'Offense Description' garbled/scrambled text,2017-00359636,4155 E 139TH ST,11/5/2017 at 14:36,RECOVERED VEH/PROPERTY NON-CRIME,,4
217894,'Offense Description' garbled/scrambled text,2017-00366508,955 E 130TH ST,11/5/2017 at 1:31,RECOVERED VEH/PROPERTY NON-CRIME,,5
217917,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00359711,3604 COMMUNITY COLLEGE 1A1V/4E/2017 at 23:30,,THEFT,,
218050,'Offense Description' garbled/scrambled text; 'Case Disposition' garbled/scrambled text,2017-00357932,13130 PURITAS AVE,11/3/2017 at 23:40,AGGRAVATED ASSAULT - KNIFER OERF ECRURTETDIN,TGO I NGSRTARNUDM JEUNRTY,1
218076,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00357706,3155 MARTIN LUTHER KING J1R1 /D3/R2017 at 19:50,,MOTOR VEHICLE THEFT - GTMV,,
218139,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00357233,3817 MARTIN LUTHER KING J1R1 /D3/R2017 at 11:00,,ASSAULT - CITY/SCHOOL EMPLOYEE,,4
218169,'Address' contains a date/time (leak?),2017-00356920,MARTIN LUTHER KING JR DR11/3/2017 at 2:55,,DRIVING UNDER SUSPENDED/REVOCATION,,4
218189,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00356995,2250 COMMUNITY COLLEGE 1A1V/3E/2017 at 0:00,,,,3
218259,"'PD District' expected numeric, has text",2017-00356150,2556 E 110TH ST,11/2/2017 at 13:36,DOMESTIC VIOLENCE,NO PAPERS (INSUFFICIENT EVD),CMHA
218284,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00359527,3155 MARTIN LUTHER KING J1R1 /D2/R2017 at 11:15,,THEFT,,
218446,'Offense Description' garbled/scrambled text,2017-00358149,MILES AVE,11/1/2017 at 12:00,RECOVERED VEH/PROPERTY NON-CRIME,,4
218458,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2018-00205364,4543 HINCKLEY INDUSTRIAL 1P1K/1W/2Y017 at 10:00,,FORGERY,,2
218520,'Offense Description' garbled/scrambled text,2017-00357617,LONGWOOD AVE,11/1/2017 at 0:00,RECOVERED VEH/PROPERTY NON-CRIME,,
218521,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00356474,I 71 S HWY & FULTON RD EX1I1T/ 1R/2A0M1P7 at 0:00,,THEFT,,
218557,"'PD District' expected numeric, has text",2017-00354243,3495 E 98TH ST,10/31/2017 at 18:19,DOMESTIC VIOLENCE,REFERRED TO GRAND JURY,CMHA
218563,'Address' contains a date/time (leak?),2017-00354159,13215 SHAKER SQUARE AVE10/31/2017 at 16:30,,PETTY THEFT,,
218645,'Offense Description' garbled/scrambled text,2017-00353428,E 93RD ST,10/31/2017 at 0:14,RECOVERED VEH/PROPERTY NON-CRIME,,5
218843,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00352008,13405 LAKEWOOD HEIGHTS 1B0L/V2D9/2017 at 13:05,,THEFT,RTA,
218854,'Offense Description' garbled/scrambled text,2017-00351899,E 85TH ST,10/29/2017 at 12:11,RECOVERED VEH/PROPERTY NON-CRIME,,3
218911,'Address' contains a date/time (leak?),2017-00351489,3155 MARTIN LUTHER KING J1R0 /D28R/2017 at 23:10,,PETTY THEFT,,4
219026,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00350739,MARTIN L KING JR DR & AVO10N/ 2A8V/2E017 at 7:40,,DRUG ABUSE: CONTROLLED SUBSTANCE POSSESSION OR USE,,
219027,'Address' contains a date/time (leak?),2017-00350738,MARTIN LUTHER KING JR DR10/28/2017 at 7:39,,FELONIOUS ASSAULT - (ALL),,4
219066,'Address' contains a date/time (leak?); 'Offense Description' garbled/scrambled text,2017-00350485,E 51ST ST & WOODLAND AVE10/27/2017 at 23:56,,RECOVERED VEH/PROPERTY NON-CRIME,,3
219095,'Address' contains a date/time (leak?),2017-00350233,2706 MARTIN LUTHER KING J1R0 /D27R/2017 at 19:24,,,,4
219206,'Address' contains a date/time (leak?),2017-00350579,3155 MARTIN LUTHER KING J1R0 /D27R/2017 at 2:15,,MOTOR VEHICLE THEFT - GTMV,,4
219351,'Case Disposition' garbled/scrambled text,2017-00348273,3906 MEMPHIS AVE,10/26/2017 at 0:32,VIOLATING PROTECTION ORDECRO,OMRP LCAOINNTS ERNETF UAGSERDE ETMOE PNRTOSECU TOR,2
219467,'Address' contains a date/time (leak?),2017-00347439,MARTIN LUTHER KING JR DR10/25/2017 at 9:05,,THEFT,NO PAPERS - N.F.I.L.,5
219589,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00347879,11731 MOUNT OVERLOOK AV1E0/24/2017 at 11:30,,ASSAULT,,
219604,'Address' possible overlapping text,2017-00346451,CLEVELAND MEMORIAL SHR1W0A/2Y4,/W2017 at 8:48,,,3
219615,'Address' contains a date/time (leak?),2017-00346417,E 88TH ST & BESSEMER AVE10/24/2017 at 7:55,,,,4
219626,'Offense Description' garbled/scrambled text,2017-00376420,4720 BROOKPARK RD,10/24/2017 at 1:25,RECOVERED VEH/PROPERTY NON-CRIME,,2
219644,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00346114,PEARL RD & FORESTDALE A1V0E/23/2017 at 21:44,,,,2
219671,'Address' contains a date/time (leak?),2017-00345837,3715 MARTIN LUTHER KING J1R0 /D23R/2017 at 17:30,,DUI-UNDER THE INFLUENCE OF ALCOHOL AND/OR DRUGS,,
219674,'Offense Description' garbled/scrambled text,2018-00030114,4106 SPOKANE AVE,10/23/2017 at 17:00,THREATENING OR HARASSINGR PEHFOENRER,ECDA LTLOS GRAND JURY,
219688,'Address' contains a date/time (leak?),2017-00345718,E 130TH ST & BUCKEYE RD10/23/2017 at 16:05,,FELONIOUS ASSAULT - FIREARM,,
219900,'Address' contains a date/time (leak?),2017-00344293,2643 MARTIN LUTHER KING J1R0 /D22R/2017 at 10:33,,,,4
220090,'Address' contains a date/time (leak?),2017-00343029,ROCKWELL AVE & E 12TH ST10/21/2017 at 7:47,,CRIMINAL DAMAGING OR ENDANGERING,,3
220098,'Address' contains a date/time (leak?),2017-00343742,2643 MARTIN LUTHER KING J1R0 /D21R/2017 at 5:00,,UNAUTHORIZED USE OF MOTOR VEHICLE,,
220136,'Address' contains a date/time (leak?),2017-00342712,3165 MARTIN LUTHER KING J1R0 /D20R/2017 at 22:35,,MOTOR VEHICLE THEFT - GTMV,,4
220200,'Offense Description' garbled/scrambled text,2017-00360630,19601 MAPLEWOOD AVE,10/20/2017 at 15:00,RECOVERED VEH/PROPERTY NON-CRIME,,2
220203,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00342170,WEST 32ND ST & CLARK AV1E0/20/2017 at 14:30,,PETTY THEFT,,
220446,'Date & Time' doesn't look like a date; 'Address' possible overlapping text; 'Date & Time' possible overlapping text,2017-00340302,W 25TH ST & SUPERIOR VIA1D0U/1C8T/2,0S1T7 at 19:50,ASSAULT,,
220570,'Case Disposition' garbled/scrambled text,2017-00339209,780 LONDON RD,10/17/2017 at 21:25,IMPROPERLY HANDLING FIREANROM SP AINP EAR,MSO -T NO.FR. IV.LE.HICLE,5
220695,'Offense Description' garbled/scrambled text,2017-00338464,W 87TH ST,10/17/2017 at 7:37,RECOVERED VEH/PROPERTY NON-CRIME,,1
220708,'Address' contains a date/time (leak?),2017-00338340,LONGWOOD AVE & E 37TH ST10/17/2017 at 1:00,,DISCHARGING A FIREARMS,,3
220712,'Offense Description' garbled/scrambled text,2017-00348692,627 E 97TH ST,10/17/2017 at 0:01,RECOVERED VEH/PROPERTY NON-CRIME,,
220733,'Address' contains a date/time (leak?),2017-00341090,W 100TH ST & DETROIT AVE10/16/2017 at 22:30,,MOTOR VEHICLE THEFT - GTMVEXCEPTIONAL CLEARANCE,,
220855,'Offense Description' garbled/scrambled text,2017-00337310,3279 W 117TH ST,10/16/2017 at 3:31,RECOVERED VEH/PROPERTY NON-CRIME,,1
221000,'Address' possible overlapping text,2017-00336230,CLEVELAND MEMORIAL SHR1W0A/1Y5,/W2017 at 3:00,ROBBERY,,2
221015,'Offense Description' garbled/scrambled text,2017-00356795,E 185TH EXIT,10/15/2017 at 0:00,RECOVERED VEH/PROPERTY NON-CRIME,,5
221032,'Address' contains a date/time (leak?),2017-00336339,3790 MARTIN LUTHER KING J1R0 /D14R/2017 at 23:00,,MOTOR VEHICLE THEFT - GTMV,,4
221042,'Date & Time' doesn't look like a date; 'Address' possible overlapping text,2017-00406519,FULTON PARKWAY PKWY & 1F0U/1L4T/O20N1,R7 Dat 21:00,FELONIOUS ASSAULT - (ALL) EXCEPTIONAL CLEARANCE,,2
221187,'Offense Description' garbled/scrambled text,2017-00334678,246 E 131ST ST,10/13/2017 at 21:48,RECOVERED VEH/PROPERTY NON-CRIME,,5
221322,'Date & Time' doesn't look like a date; 'Date & Time' possible overlapping text,2017-00333704,CREEK VIEW DR & NOTTINGH10A/M13,R/2D017 at 2:30,,,5
221344,'Date & Time' possible overlapping text,2017-00333468,ROCKY RIVER DR & SEDALIA,1 A0V/1E2/2017 at 21:13,VANDALISM,NO PAPERS - N.F.I.L.,1
221396,'Address' contains a date/time (leak?),2017-00333172,MARTIN LUTHER KING JR DR10/12/2017 at 15:55,,CRIMINAL DAMAGING OR ENDANGERING,,
221456,'Date & Time' doesn't look like a date; 'Date & Time' possible overlapping text,2017-00332719,MARTIN LUTHER KING JR DR1,&0/ 1M2I/L2E0S17 A aVtE 8:50,UNAUTHORIZED USE OF MOTOR VEHICLE,,4
221466,'Offense Description' garbled/scrambled text,2017-00343510,637 E 118TH ST,10/12/2017 at 8:00,RECOVERED VEH/PROPERTY NON-CRIME,,
221476,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00332633,2040 UNIVERSITY HOSPITAL 1D0R/12/2017 at 6:11,,,UCP,
221477,'Case Disposition' garbled/scrambled text,2017-00337942,15615 SCHOOL AVE,10/12/2017 at 6:00,"FELONIOUS ASSAULT - HANDS,* FCIHSATRS,G","FEEDE /T FSE, LEOTCNY",
221495,'Address' contains a date/time (leak?),2017-00376284,3765 MARTIN LUTHER KING J1R0 /D12R/2017 at 0:00,,IDENTITY THEFT,,
221589,"'PD District' expected numeric, has text",2017-00331817,7315 FRANKLIN BLVD,10/11/2017 at 13:39,RAPE,EXCEPTIONAL CLEARANCE,RTA
221593,'Date & Time' possible overlapping text,2017-00331807,2900 COMMUNITY COLLEGE,1 A0V/1E1/2017 at 13:24,THEFT,,3
221665,'Offense Description' garbled/scrambled text,2017-00342335,431 E 120TH ST,10/11/2017 at 0:00,RECOVERED VEH/PROPERTY NON-CRIME,,
221666,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00339922,DENISON AVE & MEMPHIS R1D0/11/2017 at 0:00,,MOTOR VEHICLE TRESPASS,,
221694,'Offense Description' garbled/scrambled text,2017-00331154,10923 HATHAWAY AVE,10/10/2017 at 20:15,AGGRAVATED MURDER-NON NEINGDLIICGTEENDC,/E FELONY,5
221703,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00331098,3609 COMMUNITY COLLEGE 1A0V/E10/2017 at 19:57,,CRIMINAL DAMAGING OR ENDAINNGDIECRTIENDG,/ FELONY,
221741,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00330694,13431 LAKEWOOD HEIGHTS 1B0L/V1D0/2017 at 14:42,,MOTOR VEHICLE THEFT - GTMV,,1
221747,'Address' contains a date/time (leak?),2017-00330674,2095 MARTIN LUTHER KING J1R0 /D10R/2017 at 13:35,,THEFT,,
221891,'Offense Description' garbled/scrambled text,2017-00329602,TRACK AVE,10/9/2017 at 16:08,RECOVERED VEH/PROPERTY NON-CRIME,,3
221921,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00329460,3155 MARTIN LUTHER KING J1R0 /D9/R2017 at 14:00,,MOTOR VEHICLE THEFT - GTMV,,
221927,'Offense Description' garbled/scrambled text,2017-00330455,4205 E 187TH ST,10/9/2017 at 12:30,RECOVERED VEH/PROPERTY NON-CRIME,,4
221932,'Date & Time' doesn't look like a date; 'Address' possible overlapping text,2017-00329347,HIGHLANDVIEW AVE & BROO1K0S/9ID/2E0 1B7L,VatD 12:01,ROBBERY,,1
221950,'Offense Description' garbled/scrambled text,2017-00329285,6735 FLEET AVE,10/9/2017 at 10:44,RECOVERED VEH/PROPERTY NON-CRIME,,4
222004,'Address' contains a date/time (leak?),2017-00328927,3703 STANLEY TOLLIVER AVE10/8/2017 at 22:55,,MOTOR VEHICLE THEFT - GTMV,,3
222041,'Offense Description' garbled/scrambled text,2017-00328874,1460 E 9TH ST,10/8/2017 at 18:00,RECOVERED VEH/PROPERTY NON-CRIME,,
222112,'Date & Time' doesn't look like a date; 'Address' possible overlapping text; 'Date & Time' possible overlapping text,2017-00328099,EUCLID AVE & MARTIN LUTHE10R/ 8K/2IN0G17,J aRt D9R:00,DR UNDER THE INFLUENCE OF ALCOHOL AND OR DRUGS,UCP,
222127,'Address' contains a date/time (leak?),2017-00328008,MARTIN LUTHER KING JR DR10/8/2017 at 5:00,,FELONIOUS ASSAULT - (ALL),,4
222167,'Address' contains a date/time (leak?),2017-00327740,W 65TH ST & WAKEFIELD AVE10/8/2017 at 0:15,,ROBBERY,,2
222224,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00327231,2250 COMMUNITY COLLEGE 1A0V/E7/2017 at 17:32,,AGGRAVATED MENACING,,3
222231,'Date & Time' doesn't look like a date; 'Address' possible overlapping text; 'Date & Time' possible overlapping text,2017-00327214,COLUMBUS RD & ROBERT L1O0/C7K/2W01O7O,aDt 1D6R:50,CRIMINAL DAMAGING OR ENDANGERING,,
222232,'Date & Time' doesn't look like a date; 'Address' possible overlapping text; 'Date & Time' possible overlapping text,2017-00327178,COLUMBUS RD & ROBERT L1O0/C7K/2W01O7O,aDt 1D6R:50,CRIMINAL TRESPASSING W/O PRIVILEGE TO DO SO:,,
222280,'Offense Description' garbled/scrambled text,2017-00326850,W 92ND ST,10/7/2017 at 11:24,INTIMIDATION OF CRIME VICTIMN OO RP AWPIETRNSE S- SUNFOUNDED,,2
222434,'Offense Description' garbled/scrambled text,2017-00325741,1204 E 60TH ST,10/6/2017 at 12:00,BURG-FORCE-RES 1800-0600 NO PAPERS - N.F.I.L.,,
222440,'Case Disposition' garbled/scrambled text,2017-00325625,1483 E 120TH ST,10/6/2017 at 11:09,VIOLATING PROTECTION ORDEPRR,OORS ECCOUNTSOERN'ST AOGFRFIECEEMENT,5
222538,'Case Disposition' garbled/scrambled text,2017-00325817,2119 W 101ST ST,10/5/2017 at 17:55,"FELONIOUS ASSAULT - HANDS,R FEISFTESR,R","FEEDE TTSO, GERTCAND JURY",
222662,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00325119,3624 COMMUNITY COLLEGE 1A0V/E4/2017 at 21:50,,,,
222789,'Address' contains a date/time (leak?),2017-00322943,MARTIN LUTHER KING JR DR10/4/2017 at 2:10,,AGGRAVATED ROBBERY,,4
222817,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00322685,2250 COMMUNITY COLLEGE 1A0V/E3/2017 at 20:40,,MENACING,,3
222832,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00322541,2706 MARTIN LUTHER KING J1R0 /D3/R2017 at 18:49,,CRIMINAL DAMAGING OR ENDANGERING,,4
222857,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00363735,2674 MARTIN LUTHER KING J1R0 /D3/R2017 at 15:00,,THEFT,,
222868,'Address' contains a date/time (leak?),2017-00322220,MARTIN LUTHER KING JR DR10/3/2017 at 13:26,,,,4
222904,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00322252,3897 MARTIN LUTHER KING J1R0 /D3/R2017 at 9:30,,THEFT,,4
222943,'Address' contains a date/time (leak?),2017-00322332,E 79 ST AND SAGAMORE AVE10/3/2017 at 0:00,,ASSAULT,,3
223021,'Address' possible overlapping text; 'Date & Time' possible overlapping text,2017-00321226,EUCLID AVE & UPPER VALLE1Y0,D/2R/2017 at 15:53,,,5
223077,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2017-00320829,3820 MARTIN LUTHER KING J1R0 /D2/R2017 at 9:00,,MOTOR VEHICLE THEFT - GTMV,,4
223258,'Address' contains a date/time (leak?),2017-00319547,WOODHILL RD & KOLAR AVE10/1/2017 at 1:47,,VIOLATION OF STATE DRUG LAW,,4
223361,'Address' possible overlapping text; 'Address' contains a date/time (leak?),2018-00008668,12410 MOUNT OVERLOOK AV9E/30/2017 at 12:00,,PROPERTY LOST,,4
223376,'Date & Time' doesn't look like a date; 'Address' possible overlapping text; 'Date & Time' possible overlapping text,2017-00319661,LORAIN ROAD BRIDGE FAIRV9I/E3W0/2,P0A1R7 KaSt 9:20,,,3
223556,'Address' possible overlapping text; 'Date & Time' possible overlapping text,2017-08001489,3627 MARTIN LUTHER KING J9R/2,D9/R2017 at 8:00,THEFT,,
223639,'Address' possible overlapping text; 'Date & Time' possible overlapping text,2017-00316732,2792 MARTIN LUTHER KING J9R/2,D8/R2017 at 18:15,,,4
223659,'Address' possible overlapping text; 'Date & Time' possible overlapping text,2017-00316569,2083 MARTIN LUTHER KING J9R/2,D8/R2017 at 16:25,THEFT,CWRU,
